Word              Count
jar               2
jaw               1
jaws              2
jelly-fish        1
jogged            1
join              9
joined            3
journey           1
joys              1
judge             4
judging           1
jumped            6
jumping           4
juror             1
jurors            4
jury              17
jury-box          4
jury-men          1
jurymen           4
just              52
justice           1
keep              11
keeping           2
kept              13
kettle            1
key               9
kick              3
kid               5
kill              1
killing           1
kills             1
kind              7
kindly            2
king              61
king's            2
kings             1
kiss              1
kissed            1
kitchen           4
knave             9
knee              5
kneel             1
knelt             1
knew              14
knife             2
knock             1
knocked           1
knocking          3
knot              2
know              88
knowing           2
knowledge         3
known             1
knows             2
knuckles          1
label             2
labelled          1
lacie             1
lad               1
ladder            1
lady              3
laid              2
lamps             1
land              1
languid           1
lap               2
large             33
larger            7
largest           1
lark              1
last              33
lasted            2
lastly            1
late              6
lately            1
later             3
latin             1
latitude          2
laugh             1
laughed           2
laughing          2
laughter          1
law               2
lay               4
lazily            1
lazy              1
leaders           1
leading           1
leaning           2
leant             1
leap              1
learn             7
learned           1
learning          2
learnt            2
least             9
leave             9
leaves            6
leaving           1
led               4
ledge             1
left              14
lefthand          2
legs              3
length            1
less              4
lessen            1
lesson            1
lesson-book       1
lesson-books      1
lessons           10
lest              1
let               17
let's             5
letter            3
letters           1
lewis             1
licking           1
lie               2
life              11
lifted            1
like              85
liked             6
likely            5
likes             1
limbs             1
line              2
lines             1
linked            1
lips              1
list              3
listen            7
listened          1
listeners         1
listening         3
lit               1
little            128
live              8
lived             3
livery            3
lives             4
living            2
lizard            5
lizard's          1
lobster           7
lobsters          7
lock              1
locked            1
locks             2
lodging           1
london            1
lonely            2
long              32
longed            2
longer            3
longitude         2
look              28
look-out          1
looked            45
looking           31
loose             1
lory              7
lose              1
losing            1
lost              3
loud              6
louder            1
loudly            3
love              3
loveliest         1
lovely            2
loving            1
low               14
low-spirited      1
lower             1
lowing            1
luckily           2
lullaby           1
lying             8
m                 4
ma                2
ma'am             1
mabel             4
machines          1
mad               15
made              30
magic             1
magpie            1
majesty           12
make              27
makes             11
making            8
mallets           1
man               5
manage            7
managed           4
managing          1
manner            2
manners           1
many              12
maps              1
march             34
marched           1
mark              3
marked            6
marmalade         1
mary              4
master            3
matter            9
matters           2
may               13
maybe             2
mayn't            1
me                68
meal              1
mean              10
meaning           8
means             5
meant             5
meanwhile         1
measure           1
meat              1
meekly            2
meet              2
meeting           1
melancholy        6
memorandum        1
memory            1
mentioned         3
mercia            2
merely            2
merrily           1
messages          2
met               3
mice              4
middle            7
might             28
mile              2
miles             3
milk              1
milk-jug          1
millennium        1
mind              11
minded            1
minding           1
mine              9
mineral           1
minute            21
minutes           11
mischief          1
miserable         2
miss              4
missed            2
mistake           3
mixed             2
mock              56
moderate          1
modern            1
moment            29
moment's          2
month             2
moon              1
moral             8
morals            1
morcar            2
more              49
morning           5
morsel            1
most              8
mostly            2
mournful          1
mournfully        1
mouse             42
mouse's           1
mouse-traps       1
mouth             10
mouths            4
move              3
moved             5
moving            3
much              51
muchness          3
muddle            1
multiplication    1
murder            1
murdering         1
muscular          1
mushroom          8
music             3
must              44
mustard           2
mustard-mine      1
muttered          2
muttering         3
my                58
myself            7
mystery           2
name              10
names             2
narrow            2
nasty             1
natural           4
natured           1
nay               1
near              15
nearer            5
nearly            11
neat              1
neatly            2
neck              7
needn't           3
needs             1
neighbour         1
neighbouring      1
neither           2
nervous           5
nest              1
never             47
never-ending      1
nevertheless      1
new               5
newspapers        1
next              30
nibbled           2
nibbling          3
nice              6
nicely            2
night             3
night-air         1
nile              1
nine              5
no                90
nobody            8
nodded            1
noise             3
noises            1
none              4
nonsense          7
nor               3
normans           1
northumbria       2
nose              8
not               145
note-book         2
nothing           34
notice            5
noticed           8
noticing          1
notion            3
now               60
nowhere           2
number            5
nurse             3
nursing           3
o                 3
o'clock           3
obliged           3
oblong            1
obstacle          1
occasional        1
occasionally      1
occurred          2
odd               1
of                511
off               73
offend            1
offended          10
offer             2
officer           1
officers          4
often             5
oh                45
ointment          1
old               19
older             2
oldest            1
on                193
once              34
one               103
one's             1
ones              1
oneself           1
onions            1
only              50
oop               7
ootiful           4
open              7
opened            10
opening           3
opinion           1
opportunity       8
opposite          1
or                77
orange            1
order             3
ordered           4
ordering          2
ornamented        2
other             40
others            7
otherwise         4
ou                1
ought             14
our               8
ours              1
ourselves         1
out               113
out-of-the-way    3
outside           4
over              40
overcome          1
overhead          1
owl               3
own               10
oyster            1
pace              1
pack              5
paint             1
painting          2
pair              5
pairs             1
pale              4
panted            1
panther           3
panting           2
paper             4
parchment         2
pardon            6
pardoned          1
paris             2
part              2
particular        4
partner           1
partners          1
parts             1
party             8
pass              1
passage           4
passed            5
passing           1
passion           3
passionate        1
past              1
pat               3
patience          1
patiently         2
patriotic         1
patted            1
pattering         3
pattern           1
pause             2
paused            1
paw               3
paws              4
pebbles           2
peeped            3
peeping           1
peering           1
pegs              1
pence             1
pencil            1
pencils           1
pennyworth        2
people            13
pepper            7
pepper-box        1
perfectly         4
perhaps           17
permitted         1
persisted         2
person            4
personal          2
persons           1
pet               1
picked            3
picking           2
picture           1
pictured          1
pictures          4
pie               2
pie-crust         1
piece             5
pieces            3
pig               8
pig-baby          1
pigeon            12
pigs              2
pinch             2
pinched           2
pine-apple        1
pink              1
piteous           1
pitied            1
pity              3
place             8
placed            1
places            2
plainly           1
plan              4
planning          1
plate             3
plates            2
play              8
played            1
players           4
playing           2
pleaded           3
pleasant          1
pleasanter        1
please            19
pleased           7
pleases           1
pleasing          1
pleasure          2
plenty            2
pocket            6
pointed           1
pointing          4
poison            3
poker             1
poky              1
politely          6
pool              11
poor              27
pop               1
pope              1
porpoise          4
position          2
positively        1
possible          1
possibly          3
pounds            1
pour              1
poured            1
powdered          1
practice          1
pray              3
precious          1
present           3
presented         1
presently         2
presents          2
pressed           3
pressing          1
pretend           1
pretending        1
pretexts          1
prettier          1
pretty            1
prevent           1
printed           1
prison            1
prisoner          1
prisoner's        1
prize             1
prizes            5
proceed           2
procession        5
processions       1
produced          1
producing         1
promise           1
promised          1
promising         1
pronounced        1
proper            3
proposal          1
prosecute         1
protection        1
proud             2
prove             1
proved            2
proves            2
provoking         1
puffed            1
pulled            1
pulling           1
pun               1
punching          1
punished          1
puppy             6
puppy's           1
purple            1
purpose           1
